form_id,entry_id,parent_form_id,form_type,expression_pdf,expression_search,reading,homograph,labels,pdf_pages,chunk_file,review_status
entry-000001-f001,entry-000001,,root,a,a,,,,21,entries/a_001.json,unreviewed
entry-000002-f001,entry-000002,,root,a,a,,II,abbr,21,entries/a_001.json,unreviewed
entry-000003-f001,entry-000003,,root,a,a,,III,abbr,21,entries/a_001.json,unreviewed
entry-000004-f001,entry-000004,,root,a,a,,,,21,entries/a_001.json,unreviewed
entry-000005-f001,entry-000005,,root,A,A,,V,,21,entries/a_001.json,unreviewed
entry-000006-f001,entry-000006,,root,A,A,,VI,,21,entries/a_001.json,unreviewed
entry-000007-f001,entry-000007,,root,à,a,à,,,21,entries/a_001.json,unreviewed
entry-000008-f001,entry-000008,,root,A ’45,A ’45,,,,21,entries/a_001.json,unreviewed
entry-000009-f001,entry-000009,,root,AA,AA,,,,21,entries/a_001.json,unreviewed
entry-000010-f001,entry-000010,,root,aah,aah,,,,21,entries/a_001.json,unreviewed
entry-000011-f001,entry-000011,,root,aala,aala,,,,21,entries/a_001.json,unreviewed
entry-000012-f001,entry-000012,,root,aam,aam,,,A,21,entries/a_001.json,unreviewed
entry-000013-f001,entry-000013,,root,aau,aau,,,,21,entries/a_001.json,unreviewed
entry-000014-f001,entry-000014,,root,ab,ab,,I,A | ob,21,entries/a_001.json,unreviewed
entry-000015-f001,entry-000015,,root,ab,ab,,II,ob,21,entries/a_001.json,unreviewed
entry-000016-f001,entry-000016,,root,AB,AB,,III,,21,entries/a_001.json,unreviewed
entry-000017-f001,entry-000017,,root,aba,aba,,I,A,21,entries/a_001.json,unreviewed
entry-000018-f001,entry-000018,,root,aba,aba,,II,Jv,21,entries/a_001.json,unreviewed
entry-000018-f002,entry-000018,entry-000018-f001,derivative,aba-aba,aba-aba,,,mil,21,entries/a_001.json,unreviewed
entry-000018-f003,entry-000018,entry-000018-f001,derivative,mengabakan,mengabakan,,,,21,entries/a_001.json,unreviewed
entry-000018-f004,entry-000018,entry-000018-f001,derivative,pengaba,pengaba,,,mil,21,entries/a_001.json,unreviewed
entry-000019-f001,entry-000019,,root,aba,aba,,III,,21,entries/a_001.json,unreviewed
entry-000020-f001,entry-000020,,root,abab,abab,,,Jv,21,entries/a_001.json,unreviewed
entry-000020-f002,entry-000020,entry-000020-f001,derivative,mengababi,mengababi,,,,21,entries/a_001.json,unreviewed
entry-000021-f001,entry-000021,,root,abad,abad,,,A | opp,21,entries/a_001.json,unreviewed
entry-000021-f002,entry-000021,entry-000021-f001,derivative,seabad,seabad,,,,21,entries/a_001.json,unreviewed
entry-000021-f003,entry-000021,entry-000021-f001,derivative,berabad-abad,berabad-abad,,,,21,entries/a_001.json,unreviewed
entry-000021-f004,entry-000021,entry-000021-f001,derivative,mengabad,mengabad,,,,21,entries/a_001.json,unreviewed
entry-000022-f001,entry-000022,,root,ab’ad,ab’ad,,,A,21,entries/a_001.json,unreviewed
entry-000023-f001,entry-000023,,root,abadi,abadi,,,A,21,entries/a_001.json,unreviewed
entry-000023-f002,entry-000023,entry-000023-f001,derivative,seabadi,seabadi,,,,21,entries/a_001.json,unreviewed
entry-000023-f003,entry-000023,entry-000023-f001,derivative,mengabadikan,mengabadikan,,,,21,entries/a_001.json,unreviewed
entry-000023-f004,entry-000023,entry-000023-f001,derivative,terabadi(kan),terabadi(kan),,,,21,entries/a_001.json,unreviewed
entry-000023-f005,entry-000023,entry-000023-f001,derivative,keabadian 1,keabadian 1,,,,21,entries/a_001.json,unreviewed
entry-000023-f006,entry-000023,entry-000023-f001,derivative,pengabadian,pengabadian,,,,21,entries/a_001.json,unreviewed
entry-000024-f001,entry-000024,,root,abadiah,abadiah,,,A,21,entries/a_001.json,unreviewed
entry-000025-f001,entry-000025,,root,abah,abah,,I,,21,entries/a_001.json,unreviewed
entry-000025-f002,entry-000025,entry-000025-f001,derivative,mengabah,mengabah,,,,21,entries/a_001.json,unreviewed
entry-000025-f003,entry-000025,entry-000025-f001,derivative,mengabahkan,mengabahkan,,,,21,entries/a_001.json,unreviewed
entry-000026-f001,entry-000026,,root,abah,abah,,II,,21,entries/a_001.json,unreviewed
entry-000027-f001,entry-000027,,root,abah,abah,,III,Jv,21,entries/a_001.json,unreviewed
entry-000027-f002,entry-000027,entry-000027-f001,derivative,abah-abah,abah-abah,,,,21,entries/a_001.json,unreviewed
entry-000028-f001,entry-000028,,root,abai 1,abai 1,,,,21,entries/a_001.json,unreviewed
entry-000028-f002,entry-000028,entry-000028-f001,derivative,mengabaikan,mengabaikan,,,,21,entries/a_001.json,unreviewed
entry-000028-f003,entry-000028,entry-000028-f001,derivative,terabai,terabai,,,,21,entries/a_001.json,unreviewed
entry-000028-f004,entry-000028,entry-000028-f001,derivative,terabaikan,terabaikan,,,,21,entries/a_001.json,unreviewed
entry-000028-f005,entry-000028,entry-000028-f001,derivative,abaian,abaian,,,,21,entries/a_001.json,unreviewed
entry-000028-f006,entry-000028,entry-000028-f001,derivative,pengabai,pengabai,,,,21,entries/a_001.json,unreviewed
entry-000028-f007,entry-000028,entry-000028-f001,derivative,pengabaian,pengabaian,,,,21,entries/a_001.json,unreviewed
entry-000029-f001,entry-000029,,root,abaimana,abaimana,,,Hind | cla,21,entries/a_001.json,unreviewed
entry-000030-f001,entry-000030,,root,abaka,abaka,,,D,21,entries/a_001.json,unreviewed
entry-000031-f001,entry-000031,,root,abakus,abakus,,,E,21,entries/a_001.json,unreviewed
entry-000032-f001,entry-000032,,root,abal-abal,abal-abal,,I,,21,entries/a_001.json,unreviewed
entry-000033-f001,entry-000033,,root,abal-abal,abal-abal,,II,,21,entries/a_001.json,unreviewed
